Data;Godzina;RCE
20230526;7;540,42
20230526;8;567,37
20230526;9;550,29
20230526;10;511,20
20230526;11;380,93
20230526;12;353,64
20230526;13;350,08
20230526;14;349,07
20230526;15;345,86
20230526;16;374,44
20230526;17;443,25
20230526;18;531,68
20230526;19;638,97
20230526;20;720,10
20230526;21;733,51
20230526;22;712,97
20230526;23;523,67
20230526;24;481,97
20230527;1;458,46
20230527;2;461,25
20230527;3;471,70
20230527;4;470,40
20230527;5;467,79
20230527;6;457,05
20230527;7;501,24
20230527;8;502,78
20230527;9;482,98
20230527;10;355,94
20230527;11;312,01
20230527;12;277,56
20230527;13;246,78
20230527;14;246,58
20230527;15;250,46
20230527;16;300,43
20230527;17;426,82
20230527;18;501,68
20230527;19;562,44
20230527;20;617,88
20230527;21;647,47
20230527;22;599,30
20230527;23;506,47
20230527;24;467,26
20230528;1;424,46
20230528;2;406,44
20230528;3;391,62
20230528;4;386,85
20230528;5;383,07
20230528;6;355,31
20230528;7;347,30
20230528;8;317,94
20230528;9;199,93
20230528;10;67,01
20230528;11;50,08
20230528;12;44,26
20230528;13;29,96
20230528;14;44,69
20230528;15;46,13
20230528;16;78,11
20230528;17;158,68
20230528;18;397,46
20230528;19;475,10
20230528;20;490,96
20230528;21;503,24
20230528;22;492,34
20230528;23;437,73
20230528;24;386,73
20230529;1;468,85
20230529;2;470,47
20230529;3;473,08
20230529;4;472,91
20230529;5;472,73
20230529;6;463,23
20230529;7;550,95
20230529;8;570,63
20230529;9;544,38
20230529;10;487,19
20230529;11;415,10
20230529;12;402,50
20230529;13;405,78
20230529;14;434,58
20230529;15;452,63
20230529;16;475,52
20230529;17;513,53
20230529;18;573,89
20230529;19;677,22
20230529;20;698,68
20230529;21;705,78
20230529;22;687,60
20230529;23;518,02
20230529;24;428,60
20230530;1;480,63
20230530;2;404,99
20230530;3;411,16
20230530;4;431,61
20230530;5;413,66
20230530;6;431,11
20230530;7;536,29
20230530;8;590,08
20230530;9;558,03
20230530;10;489,60
20230530;11;435,33
20230530;12;419,69
20230530;13;405,39
20230530;14;418,89
20230530;15;427,78
20230530;16;478,25
20230530;17;485,70
20230530;18;508,24
20230530;19;606,73
20230530;20;671,60
20230530;21;700,01
20230530;22;667,32
20230530;23;571,81
20230530;24;497,79
20230531;1;473,69
20230531;2;448,19
20230531;3;426,57
20230531;4;439,92
20230531;5;427,49
20230531;6;444,23
20230531;7;566,96
20230531;8;616,15
20230531;9;583,39
20230531;10;494,83
20230531;11;401,77
20230531;12;372,74
20230531;13;353,43
20230531;14;351,50
20230531;15;370,47
20230531;16;426,57
20230531;17;477,86
20230531;18;540,86
20230531;19;616,86
20230531;20;682,06
20230531;21;685,75
20230531;22;682,23
20230531;23;655,77
20230531;24;528,65
